path,weight,complexity,seed
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+3/Pleasant____landscape_S23571123_St25_G7.5.png,3,58.0,23571123
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+4/Pleasant_____landscape_S23571122_St25_G7.5.png,4,62.63,23571122
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+4/Pleasant_____landscape_S23571124_St25_G7.5.png,4,60.07,23571124
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+4/Pleasant_____landscape_S23571120_St25_G7.5.png,4,54.86,23571120
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+4/Pleasant_____landscape_S23571125_St25_G7.5.png,4,56.99,23571125
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+4/Pleasant_____landscape_S23571129_St25_G7.5.png,4,49.66,23571129
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+4/Pleasant_____landscape_S23571123_St25_G7.5.png,4,58.0,23571123
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+4/Pleasant_____landscape_S23571121_St25_G7.5.png,4,53.66,23571121
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+4/Pleasant_____landscape_S23571126_St25_G7.5.png,4,64.47,23571126
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+4/Pleasant_____landscape_S23571127_St25_G7.5.png,4,53.91,23571127
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+4/Pleasant_____landscape_S23571128_St25_G7.5.png,4,51.3,23571128
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+5/Pleasant______landscape_S23571129_St25_G7.5.png,5,51.34,23571129
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+5/Pleasant______landscape_S23571128_St25_G7.5.png,5,51.11,23571128
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+5/Pleasant______landscape_S23571122_St25_G7.5.png,5,64.06,23571122
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+5/Pleasant______landscape_S23571124_St25_G7.5.png,5,61.73,23571124
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+5/Pleasant______landscape_S23571125_St25_G7.5.png,5,59.5,23571125
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+5/Pleasant______landscape_S23571127_St25_G7.5.png,5,55.07,23571127
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+5/Pleasant______landscape_S23571121_St25_G7.5.png,5,54.02,23571121
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+5/Pleasant______landscape_S23571126_St25_G7.5.png,5,67.35,23571126
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+5/Pleasant______landscape_S23571120_St25_G7.5.png,5,55.73,23571120
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+5/Pleasant______landscape_S23571123_St25_G7.5.png,5,58.79,23571123
